rel_income,perc_025,perc_05,perc_25,perc_50,perc_75,perc_95,perc_975,perc_mean,perc_std,perc_upper_std,perc_lower_std
32.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
33.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
34.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
34.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
32.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
30.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
6.0,0.2,0.2,0.2,0.3,0.3,1.0,1.0,0.3087431693989073,0.18525318180242323,0.6792495330037538,-0.061763194205939176
5.5,0.2,0.2,0.2,0.3,0.55,1.0,1.0,0.44431818181818206,0.32830388030990626,1.1009259424379945,-0.21228957880163046
5.7,0.2,0.2,0.2,0.3,0.3,1.0,1.0,0.36444444444444474,0.2793697204407201,0.9231838853258849,-0.1942949964369955
5.8,0.2,0.2,0.2,0.3,0.3,1.0,1.0,0.389041095890411,0.29086157639159665,0.9707642486736043,-0.19268205689278228
5.4,0.2,0.2,0.2,0.3,1.0,1.0,1.0,0.4732394366197185,0.3581530983407886,1.1895456333012957,-0.24306676006185873
5.3,0.2,0.2,0.2,0.3,1.0,1.0,1.0,0.5056338028169015,0.36951215868016435,1.2446581201772302,-0.23339051454342719
5.6,0.2,0.2,0.2,0.3,0.3,1.0,1.0,0.40000000000000024,0.3041381265149109,1.008276253029822,-0.20827625302982156
4.7,0.2,0.2,0.2,0.2,1.0,1.0,1.0,0.5486153846153847,0.3950232466382393,1.3386618778918633,-0.24143110866109385
5.2,0.2,0.2,0.2,0.3,1.0,1.0,1.0,0.5645569620253167,0.391917696319123,1.3483923546635626,-0.2192784306129293
5.1,0.2,0.2,0.2,0.3,1.0,1.0,1.0,0.5755813953488373,0.39015413138659705,1.3558896581220314,-0.20472686742435675
4.8,0.2,0.2,0.2,0.3,1.0,1.0,1.0,0.6018867924528302,0.3954017266010975,1.3926902456550252,-0.18891666074936486
5.9,0.2,0.2,0.2,0.3,0.3,1.0,1.0,0.3447761194029852,0.24819565967535065,0.8411674387536865,-0.1516151999477161
6.1,0.2,0.2,0.3,0.3,0.3,0.8199999999999932,1.0,0.3181102362204729,0.17247835053224717,0.6630669372849672,-0.026846464844021423
4.9,0.2,0.2,0.2,0.25,1.0,1.0,1.0,0.5621621621621623,0.39611216852747017,1.3543864992171026,-0.23006217489277803
4.6,0.2,0.2,0.2,0.99,1.0,1.0,1.0,0.6458620689655173,0.3955100392753314,1.4368821475161802,-0.14515800958514546
4.5,0.2,0.2,0.2,0.99,1.0,1.0,1.0,0.6464150943396227,0.39184521247172366,1.43010551928307,-0.13727533060382457
6.3,0.2,0.2,0.3,0.3,0.3,1.0,1.0,0.3532786885245902,0.203279129208054,0.7598369469406983,-0.053279569891517775
6.2,0.2,0.2,0.3,0.3,0.3,0.7599999999999967,1.0,0.33089887640449445,0.17114348345917632,0.673185843322847,-0.011388090513858196
7.0,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.35323383084577087,0.09938304709431704,0.551999925034405,0.15446773665713678
6.7,0.2,0.2,0.3,0.3,0.4,0.5,1.0,0.3722891566265058,0.16102813949821207,0.6943454356229299,0.05023287763008166
6.8,0.2,0.2,0.3,0.4,0.4,0.8999999999999986,1.0,0.37615384615384606,0.179649766104881,0.7354533783636081,0.016854313944084043
6.6,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.33827160493827146,0.13744808222977128,0.613167769397814,0.0633754404787289
6.5,0.2,0.2,0.3,0.3,0.4,1.0,1.0,0.3641666666666667,0.20191701321579786,0.7680006930982624,-0.03966735976492902
6.4,0.2,0.2,0.3,0.3,0.4,1.0,1.0,0.3961538461538461,0.23886248860283293,0.873878823359512,-0.08157113105181979
6.9,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.333928571428571,0.07571375799510828,0.48535608741878755,0.18250105543835446
7.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.38108108108108074,0.10746120950329723,0.5960035000876752,0.1661586620744863
7.2,0.2,0.2,0.4,0.4,0.4,0.5,1.0,0.402380952380952,0.14978079220743137,0.7019425367958148,0.10281936796608926
7.3,0.2,0.2,0.3,0.4,0.4,0.41499999999999915,0.5,0.3586206896551724,0.0827901230625309,0.5242009357802342,0.1930404435301106
7.4,0.2,0.2,0.21250000000000002,0.4,0.4,0.5,0.8874999999999993,0.36399999999999993,0.16226710154833596,0.6885342030966719,0.03946579690332802
